Cluster, Loss, Potential_Revenue, Real_Revenue, Num_transactions, Avg_trans_loss
A,-3 890 935,738 921 432,735 030 497,40,-97 273
B,-72 860 062,4 535 744 447,4 462 884 384,295,-246 983
C,-37 071 432,2 364 856 516,2 327 785 084,151,-245 506
D,-74 657 690,8 215 218 930,8 140 561 240,507,-147 254
E,-4 258 205,802 995 704,798 737 499,43,-99 028
F,-333 032 275,26 178 869 319,25 845 837 044,1 593,-209 060
,,,,,
totals,-525 770 599,42 836 606 348,42 310 835 748,2 629,-199 989
,,,,,
,,delta_revenue,,,
,,525 770 600,,,
