office_id, city, latitude, longitude, work_day_hours, holiday_hours, opt_0, opt_1, opt_2, opt_3, opt_4, opt_5, opt_6, opt_7, opt_8, opt_9, opt_10, opt_11, opt_12, opt_13, opt_14, opt_15, opt_16
0, г.Москва, 55.754664, 37.608984, 10:00-20:00, not working, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0
1, г.Москва, 55.75178, 37.59927, 10:00-20:00, not working, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0
2, г.Москва, 55.762194, 37.63441, 10:00-20:00, 10:00-17:00, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0
3, г.Москва, 55.767421, 37.612543, 10:00-20:00, not working, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0
4, г.Москва, 55.741678, 37.61697, 10:00-19:00, not working, 1, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0
5, г.Москва, 55.741602, 37.633023, 10:00-19:00, not working, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0
6, г.Москва, 55.77173, 37.60526, 10:00-20:00, not working, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0
7, г.Москва, 55.73926, 37.62809, 10:00-20:00, not working, 1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0
8, г.Москва, 55.773356, 37.631909, 10:00-20:00, not working, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0
9, г.Москва, 55.775064, 37.625082, 10:00-19:00, not working, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0
10, г.Москва, 55.739047, 37.59648, 10:00-19:00, not working, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
11, г.Москва, 55.74417, 37.58462, 09:00-20:30, 10:00-17:00, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 1, 0
12, г.Москва, 55.7715, 37.64935, 10:00-20:00, not working, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0
13, г.Москва, 55.762368, 37.657718, 10:00-20:00, not working, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0
14, г.Москва, 55.741219, 37.583908, 09:00-20:00, 10:00-17:00, 1, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0
15, г.Москва, 55.77047, 37.584049, 10:00-20:00, not working, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0
16, г.Москва, 55.773826, 37.588824, 09:00-20:00, 10:00-17:00, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0
17, г.Москва, 55.734937, 37.642186, 09:00-20:00, not working, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0
18, г.Москва, 55.73847, 37.66435, 10:00-20:00, 10:00-17:00, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0
19, г.Москва, 55.78643, 37.63666, 10:00-20:00, not working, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0
20, г.Москва, 55.746385, 37.672621, 10:00-20:00, 10:00-17:00, 1, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0
21, г.Москва, 55.721544, 37.609568, 10:00-20:00, 10:00-17:00, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0
22, г.Москва, 55.773795, 37.681313, 10:00-20:00, 10:00-17:00, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0
23, г.Москва, 55.73064, 37.674613, 10:00-20:00, 10:00-17:00, 0, 1, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0
24, г.Москва, 55.713998, 37.619989, 11:00-20:00, 10:00-17:00, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0
25, г.Москва, 55.751796, 37.532637, 09:00-20:00, not working, 1, 1, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0
26, г.Москва, 55.793693, 37.560574, 10:00-20:00, not working, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0
27, г.Москва, 55.70928, 37.58004, 10:00-20:00, 10:00-17:00, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0
28, г.Москва, 55.80383, 37.58227, 11:00-20:00, not working, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0
29, г.Москва, 55.739797, 37.530048, 10:00-20:00, 10:00-17:00, 1, 1, 0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0
30, г.Москва, 55.795724, 37.540601, 10:00-20:00, 10:00-17:00, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0
31, г.Москва, 55.782724, 37.717815, 10:00-20:00, 10:00-17:00, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0
32, г.Москва, 55.79493, 37.70673, 10:00-20:00, 10:00-17:00, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0
33, г.Москва, 55.695611, 37.662371, 09:00-19:00, not working, 1, 1, 0, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0
34, г.Москва, 55.8209184, 37.64618347, 10:00-20:00, 10:00-17:00, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0
35, г.Москва, 55.737502, 37.504789, 10:00-20:00, not working, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0
36, г.Москва, 55.793885, 37.509819, 10:00-20:00, not working, 1, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0
